"Parent","Child"
"Frederick","Freddey"
"Frederick","Freddie"
"Frederick","Freddy"
"Frederick","Freddi"
"Gabriel","Freddey"
"Gabriel","Freddie"
"Gabriel","Freddy"
"Gabriel","Freddi"
"Gabrielle","Gabbey"
"Gabrielle","Gabbie"
"Gabrielle","Gabby"
"Gabrielle","Gabbi"
"Georgia","Jenney"
"Georgia","Jennie"
"Georgia","Jenny"
"Georgia","Jenni"
"Geraldine","Gerrey"
"Geraldine","Gerrie"
"Geraldine","Gerry"
"Geraldine","Gerri"
"Gertrude","Jerrey"
"Gertrude","Jerrie"
"Gertrude","Jerry"
"Gertrude","Jerri"
"Gilbert","Trudey"
"Gilbert","Trudie"
"Gilbert","Trudy"
"Gilbert","Trudi"
"Helena","Harrey"
"Helena","Harrie"
"Helena","Harry"
"Helena","Harri"
"Henry","Hettey"
"Henry","Hettie"
"Henry","Hetty"
"Henry","Hetti"
"Hezekiah","Hessey"
"Hezekiah","Hessie"
"Hezekiah","Hessy"
"Hezekiah","Hessi"
"Hosea","Horrey"
"Hosea","Horrie"
"Hosea","Horry"
"Hosea","Horri"
"Howard","Hosey"
"Howard","Hosie"
"Howard","Hosy"
"Howard","Hosi"
"Hubert","Howey"
"Hubert","Howie"
"Hubert","Howy"
"Hubert","Howi"
"Iona","Indey"
"Iona","Indie"
"Iona","Indy"
"Iona","Indi"
"Irene","Onney"
"Irene","Onnie"
"Irene","Onny"
"Irene","Onni"
"Jacob","Issey"
"Jacob","Issie"
"Jacob","Issy"
"Jacob","Issi"
"Jane","Jamey"
"Jane","Jamie"
"Jane","Jamy"
"Jane","Jami"
"Jehu","Jeffrey"
"Jehu","Jeffrie"
"Jehu","Jeffry"
"Jehu","Jeffri"
"Jeremiah","Mimey"
"Jeremiah","Mimie"
"Jeremiah","Mimy"
"Jeremiah","Mimi"
"Judah","Nettey"
"Judah","Nettie"
"Judah","Netty"
"Judah","Netti"
"Judson","Judey"
"Judson","Judie"
"Judson","Judy"
"Judson","Judi"
"Julia","Sonney"
"Julia","Sonnie"
"Julia","Sonny"
"Julia","Sonni"
"Katherine","Happey"
"Katherine","Happie"
"Katherine","Happy"
"Katherine","Happi"
"Kendra","Cathey"
"Kendra","Cathie"
"Kendra","Cathy"
"Kendra","Cathi"
"Kenneth","Kenjey"
"Kenneth","Kenjie"
"Kenneth","Kenjy"
"Kenneth","Kenji"
"Keziah","Kenney"
"Keziah","Kennie"
"Keziah","Kenny"
"Keziah","Kenni"
"Lauryn","Leffey"
"Lauryn","Leffie"
"Lauryn","Leffy"
"Lauryn","Leffi"
"Lavinia","Lorrey"
"Lavinia","Lorrie"
"Lavinia","Lorry"
"Lavinia","Lorri"
"Lillian","Libbey"
"Lillian","Libbie"
"Lillian","Libby"
"Lillian","Libbi"
"Linda","Liley"
"Linda","Lilie"
"Linda","Lily"
"Linda","Lili"
"Lois","Lindey"
"Lois","Lindie"
"Lois","Lindy"
"Lois","Lindi"
"Luann","Lottey"
"Luann","Lottie"
"Luann","Lotty"
"Luann","Lotti"
"Lucias","Lucey"
"Lucias","Lucie"
"Lucias","Lucy"
"Lucias","Luci"
"Lucretia","Lucey"
"Lucretia","Lucie"
"Lucretia","Lucy"
"Lucretia","Luci"
"Madeline","Lyndey"
"Madeline","Lyndie"
"Madeline","Lyndy"
"Madeline","Lyndi"
"Margaret","Manney"
"Margaret","Mannie"
"Margaret","Manny"
"Margaret","Manni"
"Marvin","Martey"
"Marvin","Martie"
"Marvin","Marty"
"Marvin","Marti"
"Maurice","Reeney"
"Maurice","Reenie"
"Maurice","Reeny"
"Maurice","Reeni"
"Melinda","Mittey"
"Melinda","Mittie"
"Melinda","Mitty"
"Melinda","Mitti"
"Melissa","Lindey"
"Melissa","Lindie"
"Melissa","Lindy"
"Melissa","Lindi"
"Minerva","Milley"
"Minerva","Millie"
"Minerva","Milly"
"Minerva","Milli"
"Miranda","Minney"
"Miranda","Minnie"
"Miranda","Minny"
"Miranda","Minni"
"Mitzi","Mitzey"
"Mitzi","Mitzie"
"Mitzi","Mitzy"
"Mitzi","Mitzi"
"Moses","Marey"
"Moses","Marie"
"Moses","Mary"
"Moses","Mari"
"Natalie","Poney"
"Natalie","Ponie"
"Natalie","Pony"
"Natalie","Poni"
"Nathaniel","Nattey"
"Nathaniel","Nattie"
"Nathaniel","Natty"
"Nathaniel","Natti"
"Nicholas","Nattey"
"Nicholas","Nattie"
"Nicholas","Natty"
"Nicholas","Natti"
"Noel","Nickey"
"Noel","Nickie"
"Noel","Nicky"
"Noel","Nicki"
"Obadiah","Norbey"
"Obadiah","Norbie"
"Obadiah","Norby"
"Obadiah","Norbi"
"Octavia","Obey"
"Octavia","Obie"
"Octavia","Oby"
"Octavia","Obi"
"Patricia","Pheney"
"Patricia","Phenie"
"Patricia","Pheny"
"Patricia","Pheni"
"Patrick","Pattey"
"Patrick","Pattie"
"Patrick","Patty"
"Patrick","Patti"
"Peter","Polley"
"Peter","Pollie"
"Peter","Polly"
"Peter","Polli"
"Priscilla","Scottey"
"Priscilla","Scottie"
"Priscilla","Scotty"
"Priscilla","Scotti"
"Raphael","Randey"
"Raphael","Randie"
"Raphael","Randy"
"Raphael","Randi"
"Reuben","Leafey"
"Reuben","Leafie"
"Reuben","Leafy"
"Reuben","Leafi"
"Rhodella","Rubey"
"Rhodella","Rubie"
"Rhodella","Ruby"
"Rhodella","Rubi"
"Rodney","Bobbey"
"Rodney","Bobbie"
"Rodney","Bobby"
"Rodney","Bobbi"
"Roger","Roddey"
"Roger","Roddie"
"Roger","Roddy"
"Roger","Roddi"
"Rosabella","Ronney"
"Rosabella","Ronnie"
"Rosabella","Ronny"
"Rosabella","Ronni"
"Sabrina","Rustey"
"Sabrina","Rustie"
"Sabrina","Rusty"
"Sabrina","Rusti"
"Selina","Sadey"
"Selina","Sadie"
"Selina","Sady"
"Selina","Sadi"
"Sharon","Morrey"
"Sharon","Morrie"
"Sharon","Morry"
"Sharon","Morri"
"Sheridan","Toney"
"Sheridan","Tonie"
"Sheridan","Tony"
"Sheridan","Toni"
"Shirley","Danney"
"Shirley","Dannie"
"Shirley","Danny"
"Shirley","Danni"
"Sibbilla","Sherrey"
"Sibbilla","Sherrie"
"Sibbilla","Sherry"
"Sibbilla","Sherri"
"Solomon","Smittey"
"Solomon","Smittie"
"Solomon","Smitty"
"Solomon","Smitti"
"Sullivan","Mittey"
"Sullivan","Mittie"
"Sullivan","Mitty"
"Sullivan","Mitti"
"Tasha","Tammey"
"Tasha","Tammie"
"Tasha","Tammy"
"Tasha","Tammi"
"Thaddeus","Terrey"
"Thaddeus","Terrie"
"Thaddeus","Terry"
"Thaddeus","Terri"
"Thomas","Terrey"
"Thomas","Terrie"
"Thomas","Terry"
"Thomas","Terri"
"Tipton","Timmey"
"Tipton","Timmie"
"Tipton","Timmy"
"Tipton","Timmi"
"Tobias","Tippey"
"Tobias","Tippie"
"Tobias","Tippy"
"Tobias","Tippi"
"Uriah","Phoeney"
"Uriah","Phoenie"
"Uriah","Phoeny"
"Uriah","Phoeni"
"Vanessa","Valerey"
"Vanessa","Valerie"
"Vanessa","Valery"
"Vanessa","Valeri"
"Victor","Ronney"
"Victor","Ronnie"
"Victor","Ronny"
"Victor","Ronni"
"Vincent","Torey"
"Vincent","Torie"
"Vincent","Tory"
"Vincent","Tori"
"Vivian","Ginney"
"Vivian","Ginnie"
"Vivian","Ginny"
"Vivian","Ginni"
"Wilfred","Willey"
"Wilfred","Willie"
"Wilfred","Willy"
"Wilfred","Willi"
"Wilhelmina","Willey"
"Wilhelmina","Willie"
"Wilhelmina","Willy"
"Wilhelmina","Willi"
"William","Minney"
"William","Minnie"
"William","Minny"
"William","Minni"
"Winton","Winney"
"Winton","Winnie"
"Winton","Winny"
"Winton","Winni"
"Zadock","Zacharey"
"Zadock","Zacharie"
"Zadock","Zachary"
"Zadock","Zachari"
"Abel","Ronney"
"Abel","Ronnie"
"Abel","Ronny"
"Abel","Ronni"
"Adaline","Abbey"
"Adaline","Abbie"
"Adaline","Abby"
"Adaline","Abbi"
"Adelaide","Edey"
"Adelaide","Edie"
"Adelaide","Edy"
"Adelaide","Edi"
"Agnes","Aggey"
"Agnes","Aggie"
"Agnes","Aggy"
"Agnes","Aggi"
"Aleva","Alley"
"Aleva","Allie"
"Aleva","Ally"
"Aleva","Alli"
"Alexander","Levey"
"Alexander","Levie"
"Alexander","Levy"
"Alexander","Levi"
"Alfreda","Alfey"
"Alfreda","Alfie"
"Alfreda","Alfy"
"Alfreda","Alfi"
"Alice","Freddey"
"Alice","Freddie"
"Alice","Freddy"
"Alice","Freddi"
"Amelia","Mandey"
"Amelia","Mandie"
"Amelia","Mandy"
"Amelia","Mandi"
"Aphrodite","Toney"
"Aphrodite","Tonie"
"Aphrodite","Tony"
"Aphrodite","Toni"
"Augusta","Nattey"
"Augusta","Nattie"
"Augusta","Natty"
"Augusta","Natti"
"Augustus","Augey"
"Augustus","Augie"
"Augustus","Augy"
"Augustus","Augi"
"Aurelia","Gatsey"
"Aurelia","Gatsie"
"Aurelia","Gatsy"
"Aurelia","Gatsi"
"Barnabas","Barbey"
"Barnabas","Barbie"
"Barnabas","Barby"
"Barnabas","Barbi"
"Barry","Berney"
"Barry","Bernie"
"Barry","Berny"
"Barry","Berni"
"Bedelia","Trixey"
"Bedelia","Trixie"
"Bedelia","Trixy"
"Bedelia","Trixi"
"Bertha","Jamey"
"Bertha","Jamie"
"Bertha","Jamy"
"Bertha","Jami"
"Calvin","Brey"
"Calvin","Brie"
"Calvin","Bry"
"Calvin","Bri"
"Cameron","Vinney"
"Cameron","Vinnie"
"Cameron","Vinny"
"Cameron","Vinni"
"Casey","Carrey"
"Casey","Carrie"
"Casey","Carry"
"Casey","Carri"
"Cedrick","Ceciley"
"Cedrick","Cecilie"
"Cedrick","Cecily"
"Cedrick","Cecili"
"Celinda","Rickey"
"Celinda","Rickie"
"Celinda","Ricky"
"Celinda","Ricki"
"Cornelius","Nelley"
"Cornelius","Nellie"
"Cornelius","Nelly"
"Cornelius","Nelli"
"Curtis","Conney"
"Curtis","Connie"
"Curtis","Conny"
"Curtis","Conni"
"Desiree","Richey"
"Desiree","Richie"
"Desiree","Richy"
"Desiree","Richi"
"Diana","Desrey"
"Diana","Desrie"
"Diana","Desry"
"Diana","Desri"
"Edmund","Edey"
"Edmund","Edie"
"Edmund","Edy"
"Edmund","Edi"
"Elmira","Bettey"
"Elmira","Bettie"
"Elmira","Betty"
"Elmira","Betti"
"Elsie","Elley"
"Elsie","Ellie"
"Elsie","Elly"
"Elsie","Elli"
"Emanuel","Woodey"
"Emanuel","Woodie"
"Emanuel","Woody"
"Emanuel","Woodi"
"Estella","Rickey"
"Estella","Rickie"
"Estella","Ricky"
"Estella","Ricki"
"Evaline","Geney"
"Evaline","Genie"
"Evaline","Geny"
"Evaline","Geni"
"Frances","Flossey"
"Frances","Flossie"
"Frances","Flossy"
"Frances","Flossi"
"Gertrude","Deanney"
"Gertrude","Deannie"
"Gertrude","Deanny"
"Gertrude","Deanni"
"Harold","Nanney"
"Harold","Nannie"
"Harold","Nanny"
"Harold","Nanni"
"Henry","Nettey"
"Henry","Nettie"
"Henry","Netty"
"Henry","Netti"
"Hezekiah","Hettey"
"Hezekiah","Hettie"
"Hezekiah","Hetty"
"Hezekiah","Hetti"
"Honora","Hiley"
"Honora","Hilie"
"Honora","Hily"
"Honora","Hili"
"Isaac","Renney"
"Isaac","Rennie"
"Isaac","Renny"
"Isaac","Renni"
"Jedediah","Janey"
"Jedediah","Janie"
"Jedediah","Jany"
"Jedediah","Jani"
"Jehu","Geoffrey"
"Jehu","Geoffrie"
"Jehu","Geoffry"
"Jehu","Geoffri"
"Joanna","Jessey"
"Joanna","Jessie"
"Joanna","Jessy"
"Joanna","Jessi"
"Julias","Juley"
"Julias","Julie"
"Julias","July"
"Julias","Juli"
"Katherine","Juney"
"Katherine","Junie"
"Katherine","Juny"
"Katherine","Juni"
"Lafayette","Kingsley"
"Lafayette","Kingslie"
"Lafayette","Kingsly"
"Lafayette","Kingsli"
"Lavinia","Laffey"
"Lavinia","Laffie"
"Lavinia","Laffy"
"Lavinia","Laffi"
"Leonard","Lawrey"
"Leonard","Lawrie"
"Leonard","Lawry"
"Leonard","Lawri"
"Linda","Lilley"
"Linda","Lillie"
"Linda","Lilly"
"Linda","Lilli"
"Lotta","Lorrey"
"Lotta","Lorrie"
"Lotta","Lorry"
"Lotta","Lorri"
"Lucille","Cindey"
"Lucille","Cindie"
"Lucille","Cindy"
"Lucille","Cindi"
"Lucinda","Lucey"
"Lucinda","Lucie"
"Lucinda","Lucy"
"Lucinda","Luci"
"Madeline","Lindey"
"Madeline","Lindie"
"Madeline","Lindy"
"Madeline","Lindi"
"Magdelina","Maggey"
"Magdelina","Maggie"
"Magdelina","Maggy"
"Magdelina","Maggi"
"Manerva","Malachey"
"Manerva","Malachie"
"Manerva","Malachy"
"Manerva","Malachi"
"Margaret","Nervey"
"Margaret","Nervie"
"Margaret","Nervy"
"Margaret","Nervi"
"Marianna","Maggey"
"Marianna","Maggie"
"Marianna","Maggy"
"Marianna","Maggi"
"Maryanne","Mamey"
"Maryanne","Mamie"
"Maryanne","Mamy"
"Maryanne","Mami"
"Matilda","Marey"
"Matilda","Marie"
"Matilda","Mary"
"Matilda","Mari"
"Matthew","Pattey"
"Matthew","Pattie"
"Matthew","Patty"
"Matthew","Patti"
"Mehitabel","Mossey"
"Mehitabel","Mossie"
"Mehitabel","Mossy"
"Mehitabel","Mossi"
"Melinda","Hittey"
"Melinda","Hittie"
"Melinda","Hitty"
"Melinda","Hitti"
"Michael","Milley"
"Michael","Millie"
"Michael","Milly"
"Michael","Milli"
"Minerva","Mimey"
"Minerva","Mimie"
"Minerva","Mimy"
"Minerva","Mimi"
"Miriam","Randey"
"Miriam","Randie"
"Miriam","Randy"
"Miriam","Randi"
"Moses","Mimey"
"Moses","Mimie"
"Moses","Mimy"
"Moses","Mimi"
"Nancy","Myrtey"
"Nancy","Myrtie"
"Nancy","Myrty"
"Nancy","Myrti"
"Natalie","Nappey"
"Natalie","Nappie"
"Natalie","Nappy"
"Natalie","Nappi"
"Nathaniel","Talley"
"Nathaniel","Tallie"
"Nathaniel","Tally"
"Nathaniel","Talli"
"Olivia","Beedey"
"Olivia","Beedie"
"Olivia","Beedy"
"Olivia","Beedi"
"Oswald","Olley"
"Oswald","Ollie"
"Oswald","Olly"
"Oswald","Olli"
"Parthenia","Ozzey"
"Parthenia","Ozzie"
"Parthenia","Ozzy"
"Parthenia","Ozzi"
"Patricia","Pattey"
"Patricia","Pattie"
"Patricia","Patty"
"Patricia","Patti"
"Paulina","Patsey"
"Paulina","Patsie"
"Paulina","Patsy"
"Paulina","Patsi"
"Prudence","Prissey"
"Prudence","Prissie"
"Prudence","Prissy"
"Prudence","Prissi"
"Reginald","Reggey"
"Reginald","Reggie"
"Reginald","Reggy"
"Reginald","Reggi"
"Roger","Robbey"
"Roger","Robbie"
"Roger","Robby"
"Roger","Robbi"
"Ronald","Lanney"
"Ronald","Lannie"
"Ronald","Lanny"
"Ronald","Lanni"
"Samuel","Reeney"
"Samuel","Reenie"
"Samuel","Reeny"
"Samuel","Reeni"
"Sarah","Sammey"
"Sarah","Sammie"
"Sarah","Sammy"
"Sarah","Sammi"
"Shaun","Sharrey"
"Shaun","Sharrie"
"Shaun","Sharry"
"Shaun","Sharri"
"Sidney","Sibbey"
"Sidney","Sibbie"
"Sidney","Sibby"
"Sidney","Sibbi"
"Simeon","Sydney"
"Simeon","Sydnie"
"Simeon","Sydny"
"Simeon","Sydni"
"Stephen","Froney"
"Stephen","Fronie"
"Stephen","Frony"
"Stephen","Froni"
"Tamara","Sley"
"Tamara","Slie"
"Tamara","Sly"
"Tamara","Sli"
"Theodore","Tashey"
"Theodore","Tashie"
"Theodore","Tashy"
"Theodore","Tashi"
"Tobias","Tipsey"
"Tobias","Tipsie"
"Tobias","Tipsy"
"Tobias","Tipsi"
"Tryphena","Tobey"
"Tryphena","Tobie"
"Tryphena","Toby"
"Tryphena","Tobi"
"Valentina","Pheney"
"Valentina","Phenie"
"Valentina","Pheny"
"Valentina","Pheni"
"Veronica","Vanney"
"Veronica","Vannie"
"Veronica","Vanny"
"Veronica","Vanni"
"Vincent","Vickey"
"Vincent","Vickie"
"Vincent","Vicky"
"Vincent","Vicki"
"Violet","Vinney"
"Violet","Vinnie"
"Violet","Vinny"
"Violet","Vinni"
"William","Willey"
"William","Willie"
"William","Willy"
"William","Willi"
"Winfield","Willey"
"Winfield","Willie"
"Winfield","Willy"
"Winfield","Willi"
"Winifred","Winney"
"Winifred","Winnie"
"Winifred","Winny"
"Winifred","Winni"
"Yulan","Woodey"
"Yulan","Woodie"
"Yulan","Woody"
"Yulan","Woodi"
"Aaron","Zelphey"
"Aaron","Zelphie"
"Aaron","Zelphy"
"Aaron","Zelphi"
"Abijah","Nabbey"
"Abijah","Nabbie"
"Abijah","Nabby"
"Abijah","Nabbi"
"Agatha","Philley"
"Agatha","Phillie"
"Agatha","Philly"
"Agatha","Philli"
"Aileen","Nancey"
"Aileen","Nancie"
"Aileen","Nancy"
"Aileen","Nanci"
"Alexandria","Sandey"
"Alexandria","Sandie"
"Alexandria","Sandy"
"Alexandria","Sandi"
"Alonzo","Elsey"
"Alonzo","Elsie"
"Alonzo","Elsy"
"Alonzo","Elsi"
"Anna","Angey"
"Anna","Angie"
"Anna","Angy"
"Anna","Angi"
"Antoinette","Anney"
"Antoinette","Annie"
"Antoinette","Anny"
"Antoinette","Anni"
"Augustus","Gusey"
"Augustus","Gusie"
"Augustus","Gusy"
"Augustus","Gusi"
"Aurelia","Gatsbey"
"Aurelia","Gatsbie"
"Aurelia","Gatsby"
"Aurelia","Gatsbi"
"Azariah","Rilley"
"Azariah","Rillie"
"Azariah","Rilly"
"Azariah","Rilli"
"Barry","Bobbey"
"Barry","Bobbie"
"Barry","Bobby"
"Barry","Bobbi"
"Cecilia","Cassey"
"Cecilia","Cassie"
"Cecilia","Cassy"
"Cecilia","Cassi"
"Charlotte","Charley"
"Charlotte","Charlie"
"Charlotte","Charly"
"Charlotte","Charli"
"Christiana","Lottey"
"Christiana","Lottie"
"Christiana","Lotty"
"Christiana","Lotti"
"Diana","Desirey"
"Diana","Desirie"
"Diana","Desiry"
"Diana","Desiri"
"Dorothy","Dicey"
"Dorothy","Dicie"
"Dorothy","Dicy"
"Dorothy","Dici"
"Eugenia","Milley"
"Eugenia","Millie"
"Eugenia","Milly"
"Eugenia","Milli"
"Evelyn","Jenney"
"Evelyn","Jennie"
"Evelyn","Jenny"
"Evelyn","Jenni"
"Gilbert","Gerey"
"Gilbert","Gerie"
"Gilbert","Gery"
"Gilbert","Geri"
"Hepsabah","Harrey"
"Hepsabah","Harrie"
"Hepsabah","Harry"
"Hepsabah","Harri"
"Honora","Essey"
"Honora","Essie"
"Honora","Essy"
"Honora","Essi"
"Hubert","Norrey"
"Hubert","Norrie"
"Hubert","Norry"
"Hubert","Norri"
"Isabella","Reeney"
"Isabella","Reenie"
"Isabella","Reeny"
"Isabella","Reeni"
"Jefferson","Jessey"
"Jefferson","Jessie"
"Jefferson","Jessy"
"Jefferson","Jessi"
"John","Jodey"
"John","Jodie"
"John","Jody"
"John","Jodi"
"Josephine","Jodey"
"Josephine","Jodie"
"Josephine","Jody"
"Josephine","Jodi"
"Julia","Josey"
"Julia","Josie"
"Julia","Josy"
"Julia","Josi"
"Kenneth","Kitsey"
"Kenneth","Kitsie"
"Kenneth","Kitsy"
"Kenneth","Kitsi"
"Lavinia","Kimmey"
"Lavinia","Kimmie"
"Lavinia","Kimmy"
"Lavinia","Kimmi"
"Leonora","Lenney"
"Leonora","Lennie"
"Leonora","Lenny"
"Leonora","Lenni"
"Linda","Lolley"
"Linda","Lollie"
"Linda","Lolly"
"Linda","Lolli"
"Loretta","Lyndey"
"Loretta","Lyndie"
"Loretta","Lyndy"
"Loretta","Lyndi"
"Marianna","Maisey"
"Marianna","Maisie"
"Marianna","Maisy"
"Marianna","Maisi"
"Martha","Marey"
"Martha","Marie"
"Martha","Mary"
"Martha","Mari"
"Mary","Mattey"
"Mary","Mattie"
"Mary","Matty"
"Mary","Matti"
"Matthew","Tilley"
"Matthew","Tillie"
"Matthew","Tilly"
"Matthew","Tilli"
"Mehitabel","Morey"
"Mehitabel","Morie"
"Mehitabel","Mory"
"Mehitabel","Mori"
"Melissa","Mindey"
"Melissa","Mindie"
"Melissa","Mindy"
"Melissa","Mindi"
"Michael","Missey"
"Michael","Missie"
"Michael","Missy"
"Michael","Missi"
"Moses","Nervey"
"Moses","Nervie"
"Moses","Nervy"
"Moses","Nervi"
"Parthenia","Nolley"
"Parthenia","Nollie"
"Parthenia","Nolly"
"Parthenia","Nolli"
"Patricia","Theney"
"Patricia","Thenie"
"Patricia","Theny"
"Patricia","Theni"
"Patrick","Trixey"
"Patrick","Trixie"
"Patrick","Trixy"
"Patrick","Trixi"
"Prudence","Cissey"
"Prudence","Cissie"
"Prudence","Cissy"
"Prudence","Cissi"
"Rebecca","Shelley"
"Rebecca","Shellie"
"Rebecca","Shelly"
"Rebecca","Shelli"
"Robert","Richey"
"Robert","Richie"
"Robert","Richy"
"Robert","Richi"
"Roberta","Bobbey"
"Roberta","Bobbie"
"Roberta","Bobby"
"Roberta","Bobbi"
"Roger","Bertey"
"Roger","Bertie"
"Roger","Berty"
"Roger","Berti"
"Sharon","Salley"
"Sharon","Sallie"
"Sharon","Sally"
"Sharon","Salli"
"Sophronia","Solley"
"Sophronia","Sollie"
"Sophronia","Solly"
"Sophronia","Solli"
"Susannah","Sophey"
"Susannah","Sophie"
"Susannah","Sophy"
"Susannah","Sophi"
"Sylvester","Susey"
"Sylvester","Susie"
"Sylvester","Susy"
"Sylvester","Susi"
"Thomas","Tessey"
"Thomas","Tessie"
"Thomas","Tessy"
"Thomas","Tessi"
"Tobias","Tommey"
"Tobias","Tommie"
"Tobias","Tommy"
"Tobias","Tommi"
"Vincent","Vonney"
"Vincent","Vonnie"
"Vincent","Vonny"
"Vincent","Vonni"
"Wilber","Jenney"
"Wilber","Jennie"
"Wilber","Jenny"
"Wilber","Jenni"
"Winifred","Billey"
"Winifred","Billie"
"Winifred","Billy"
"Winifred","Billi"
"Zadock","Zachey"
"Zadock","Zachie"
"Zadock","Zachy"
"Zadock","Zachi"
"Abigail","Ebbey"
"Abigail","Ebbie"
"Abigail","Ebby"
"Abigail","Ebbi"
"Adelaide","Addey"
"Adelaide","Addie"
"Adelaide","Addy"
"Adelaide","Addi"
"Alberta","Nessey"
"Alberta","Nessie"
"Alberta","Nessy"
"Alberta","Nessi"
"Alexander","Bertey"
"Alexander","Bertie"
"Alexander","Berty"
"Alexander","Berti"
"Alice","Freddey"
"Alice","Freddie"
"Alice","Freddy"
"Alice","Freddi"
"Amelia","Alley"
"Amelia","Allie"
"Amelia","Ally"
"Amelia","Alli"
"Angela","Milley"
"Angela","Millie"
"Angela","Milly"
"Angela","Milli"
"Augustus","Gussey"
"Augustus","Gussie"
"Augustus","Gussy"
"Augustus","Gussi"
"Barbara","Gussey"
"Barbara","Gussie"
"Barbara","Gussy"
"Barbara","Gussi"
"Caroline","Bridgey"
"Caroline","Bridgie"
"Caroline","Bridgy"
"Caroline","Bridgi"
"Charles","Ceceley"
"Charles","Cecelie"
"Charles","Cecely"
"Charles","Ceceli"
"Cornelius","Cissey"
"Cornelius","Cissie"
"Cornelius","Cissy"
"Cornelius","Cissi"
"Dorothy","Lolley"
"Dorothy","Lollie"
"Dorothy","Lolly"
"Dorothy","Lolli"
"Edith","Dottey"
"Edith","Dottie"
"Edith","Dotty"
"Edith","Dotti"
"Edward","Edney"
"Edward","Ednie"
"Edward","Edny"
"Edward","Edni"
"Francis","Cissey"
"Francis","Cissie"
"Francis","Cissy"
"Francis","Cissi"
"Henry","Ettey"
"Henry","Ettie"
"Henry","Etty"
"Henry","Etti"
"Jacob","Issey"
"Jacob","Issie"
"Jacob","Issy"
"Jacob","Issi"
"Jennifer","Jenney"
"Jennifer","Jennie"
"Jennifer","Jenny"
"Jennifer","Jenni"
"Kenneth","Kittey"
"Kenneth","Kittie"
"Kenneth","Kitty"
"Kenneth","Kitti"
"Leonard","Lorrey"
"Leonard","Lorrie"
"Leonard","Lorry"
"Leonard","Lorri"
"Margaret","Middey"
"Margaret","Middie"
"Margaret","Middy"
"Margaret","Middi"
"Mary","Patsey"
"Mary","Patsie"
"Mary","Patsy"
"Mary","Patsi"
"Mehitabel","Mattey"
"Mehitabel","Mattie"
"Mehitabel","Matty"
"Mehitabel","Matti"
"Olivia","Obey"
"Olivia","Obie"
"Olivia","Oby"
"Olivia","Obi"
"Patience","Livey"
"Patience","Livie"
"Patience","Livy"
"Patience","Livi"
"Richard","Renney"
"Richard","Rennie"
"Richard","Renny"
"Richard","Renni"
"Roger","Birdey"
"Roger","Birdie"
"Roger","Birdy"
"Roger","Birdi"
"Rosalyn","Rolley"
"Rosalyn","Rollie"
"Rosalyn","Rolly"
"Rosalyn","Rolli"
"Shaun","Sharey"
"Shaun","Sharie"
"Shaun","Shary"
"Shaun","Shari"
"Susannah","Zolley"
"Susannah","Zollie"
"Susannah","Zolly"
"Susannah","Zolli"
"Virginia","Froney"
"Virginia","Fronie"
"Virginia","Frony"
"Virginia","Froni"
"William","Jiney"
"William","Jinie"
"William","Jiny"
"William","Jini"
"Angela","Molley"
"Angela","Mollie"
"Angela","Molly"
"Angela","Molli"
"Augusta","Arrey"
"Augusta","Arrie"
"Augusta","Arry"
"Augusta","Arri"
"Broderick","Babbey"
"Broderick","Babbie"
"Broderick","Babby"
"Broderick","Babbi"
"Christiana","Sherrey"
"Christiana","Sherrie"
"Christiana","Sherry"
"Christiana","Sherri"
"Eleanor","Eddey"
"Eleanor","Eddie"
"Eleanor","Eddy"
"Eleanor","Eddi"
"Emeline","Elsey"
"Emeline","Elsie"
"Emeline","Elsy"
"Emeline","Elsi"
"Jane","Jimmey"
"Jane","Jimmie"
"Jane","Jimmy"
"Jane","Jimmi"
"John","Noney"
"John","Nonie"
"John","Nony"
"John","Noni"
"Josiah","Jodey"
"Josiah","Jodie"
"Josiah","Jody"
"Josiah","Jodi"
"Lawrence","Vinney"
"Lawrence","Vinnie"
"Lawrence","Vinny"
"Lawrence","Vinni"
"Leonard","Lonney"
"Leonard","Lonnie"
"Leonard","Lonny"
"Leonard","Lonni"
"Mary","Pattey"
"Mary","Pattie"
"Mary","Patty"
"Mary","Patti"
"Matilda","Anney"
"Matilda","Annie"
"Matilda","Anny"
"Matilda","Anni"
"Nancy","Melley"
"Nancy","Mellie"
"Nancy","Melly"
"Nancy","Melli"
"Nathaniel","Nanney"
"Nathaniel","Nannie"
"Nathaniel","Nanny"
"Nathaniel","Nanni"
"Patricia","Fannney"
"Patricia","Fannnie"
"Patricia","Fannny"
"Patricia","Fannni"
"Sarah","Rudey"
"Sarah","Rudie"
"Sarah","Rudy"
"Sarah","Rudi"
"Sharon","Surrey"
"Sharon","Surrie"
"Sharon","Surry"
"Sharon","Surri"
"Solomon","Sherey"
"Solomon","Sherie"
"Solomon","Shery"
"Solomon","Sheri"
"Sylvester","Suchey"
"Sylvester","Suchie"
"Sylvester","Suchy"
"Sylvester","Suchi"
"Theresa","Teddey"
"Theresa","Teddie"
"Theresa","Teddy"
"Theresa","Teddi"
"Veronica","Ticey"
"Veronica","Ticie"
"Veronica","Ticy"
"Veronica","Tici"
"William","Virgey"
"William","Virgie"
"William","Virgy"
"William","Virgi"
"Alice","Sandey"
"Alice","Sandie"
"Alice","Sandy"
"Alice","Sandi"
"Arabella","Nanney"
"Arabella","Nannie"
"Arabella","Nanny"
"Arabella","Nanni"
